Id2,Estimate; Total:,Estimate; Women who had a birth in the past 12 months:,"Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced):","Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed, and divorced): - 15 to 19 years old",Estimate; Women who did not have a birth in the past 12 months:
77386,11322,1311,124,8,10011
77388,10481,667,174,0,9814
77389,6427,511,42,0,5916
77396,13518,997,133,44,12521
77401,3941,357,61,21,3584
77406,7672,746,59,0,6926
77407,11077,725,48,0,10352
77412,27,0,0,0,27
77414,5203,429,144,25,4774
77415,19,0,0,0,19
77417,582,18,0,0,564
77418,1993,138,61,0,1855
77419,215,9,0,0,206
77420,464,0,0,0,464
77422,2586,178,78,10,2408
77423,2347,272,127,127,2075
77426,225,0,0,0,225
77428,0,0,0,0,0
77429,20889,958,158,10,19931
77430,535,47,0,0,488
77432,17,0,0,0,17
77433,16371,888,160,18,15483
77434,1293,51,21,0,1242
77435,1229,41,9,0,1188
77436,0,0,0,0,0
77437,3706,177,64,8,3529
77440,0,0,0,0,0
77441,1335,70,17,0,1265
77442,146,0,0,0,146
77443,0,0,0,0,0
77444,207,0,0,0,207
77445,2629,34,1,0,2595
77446,3734,17,6,0,3717
77447,3360,204,25,0,3156
77448,0,0,0,0,0
77449,29454,1591,612,0,27863
77450,19849,931,69,0,18918
77451,8,0,0,0,8
77453,98,29,0,0,69
77454,0,0,0,0,0
77455,341,10,0,0,331
77456,253,0,0,0,253
77457,58,0,0,0,58
77458,0,0,0,0,0
77459,15725,694,80,70,15031
77460,26,0,0,0,26
77461,2466,53,0,0,2413
77464,51,13,8,8,38
77465,1620,162,115,0,1458
77466,89,2,0,0,87
77467,14,14,14,0,0
77468,10,0,0,0,10
77469,10516,497,226,45,10019
77470,49,29,0,0,20
77471,9686,626,342,56,9060
77473,26,0,0,0,26
77474,2968,94,8,8,2874
77475,81,0,0,0,81
77476,15,0,0,0,15
77477,9995,359,112,17,9636
77478,5070,257,14,0,4813
77479,20906,1100,5,0,19806
77480,1601,101,92,0,1500
77481,4,0,0,0,4
77482,699,123,0,0,576
77483,123,0,0,0,123
77484,2550,214,92,37,2336
77485,874,38,23,0,836
77486,1653,72,22,0,1581
77488,3140,253,165,5,2887
77489,9147,475,253,25,8672
77493,6806,440,136,0,6366
77494,24159,1085,91,0,23074
77498,13399,628,150,0,12771
77502,9412,719,231,12,8693
77503,6478,301,173,17,6177
77504,5803,553,122,20,5250
77505,6021,295,83,31,5726
77506,8835,647,320,35,8188
77507,0,0,0,0,0
77510,3001,94,35,0,2907
77511,10864,738,400,28,10126
77514,845,52,15,0,793
77515,6883,391,273,20,6492
77517,1279,58,40,0,1221
77518,2154,138,0,0,2016
77519,345,73,0,0,272
77520,9270,602,270,59,8668
77521,13243,581,305,68,12662
77523,5455,399,72,0,5056
77530,7677,335,109,30,7342
77531,4015,344,143,0,3671
77532,7188,481,209,17,6707
77533,145,6,0,0,139
77534,795,18,0,0,777
77535,9390,501,224,52,8889
77536,8086,519,162,32,7567
77538,241,13,4,4,228
77539,10290,753,262,75,9537
77541,4573,266,100,30,4307
77545,6878,320,149,0,6558
77546,12367,414,39,0,11953
77547,2792,128,11,0,2664
77550,5818,243,121,33,5575
77551,4908,303,162,59,4605
77554,1855,33,23,0,1822
77560,200,10,10,0,190
77561,7,0,0,0,7
77562,2317,88,52,0,2229
77563,2031,108,68,10,1923
77564,387,40,0,0,347
77565,1523,3,0,0,1520
77566,7228,512,338,130,6716
77568,3231,245,184,7,2986
77571,8656,605,175,33,8051
77573,20419,987,86,0,19432
77575,3305,242,52,0,3063
77577,250,2,0,0,248
77578,4492,257,0,0,4235
77580,127,0,0,0,127
77581,10794,802,141,21,9992
77583,6378,542,38,8,5836
77584,21361,1293,155,25,20068
77585,300,15,0,0,285
77586,5383,262,65,21,5121
77587,4142,323,138,0,3819
77590,6977,426,207,8,6551
77591,3293,233,65,0,3060
77597,195,0,0,0,195
77598,6831,428,201,36,6403
